identity;original_image;aligned_image;confidence
Abraham Kuyper;Abraham Kuyper/0.jpeg;Abraham Kuyper/0_01.jpg;0.8867706060409546
Abraham Kuyper;Abraham Kuyper/1.jpeg;Abraham Kuyper/1_01.jpg;0.8749703168869019
Achille Jubinal;Achille Jubinal/0.jpeg;Achille Jubinal/0_01.jpg;0.8402233719825745
Achille Jubinal;Achille Jubinal/1.jpeg;Achille Jubinal/1_01.jpg;0.8606535196304321
Adam Opel;Adam Opel/0.jpeg;Adam Opel/0_01.jpg;0.8906642198562622
Adam Opel;Adam Opel/1.jpeg;Adam Opel/1_01.jpg;0.8672860860824585
Adolf Kaegi;Adolf Kaegi/0.jpeg;Adolf Kaegi/0_01.jpg;0.7909621596336365
Adolf Kaegi;Adolf Kaegi/1.jpeg;Adolf Kaegi/1_01.jpg;0.8293736577033997
Adolf Schiel;Adolf Schiel/0.jpeg;Adolf Schiel/0_01.jpg;0.848781943321228
Adolf Schiel;Adolf Schiel/1.jpeg;Adolf Schiel/1_01.jpg;0.8738393783569336
Adolph Rosenkilde;Adolph Rosenkilde/0.jpeg;Adolph Rosenkilde/0_01.jpg;0.8079337477684021
Adolph Rosenkilde;Adolph Rosenkilde/1.jpeg;Adolph Rosenkilde/1_01.jpg;0.876775860786438
Adolph von Menzel;Adolph von Menzel/0.jpeg;Adolph von Menzel/0_01.jpg;0.8608872890472412
Adolph von Menzel;Adolph von Menzel/1.jpeg;Adolph von Menzel/1_01.jpg;0.8325283527374268
Adolphe Ferdinand Moreau;Adolphe Ferdinand Moreau/0.jpeg;Adolphe Ferdinand Moreau/0_01.jpg;0.8508180379867554
Adolphe Ferdinand Moreau;Adolphe Ferdinand Moreau/1.jpeg;Adolphe Ferdinand Moreau/1_01.jpg;0.8740173578262329
Adolphe Tschumi;Adolphe Tschumi/0.jpeg;Adolphe Tschumi/0_01.jpg;0.8764408230781555
Adolphe Tschumi;Adolphe Tschumi/1.jpeg;Adolphe Tschumi/1_01.jpg;0.8757852911949158
Adolphe Yvon;Adolphe Yvon/0.jpeg;Adolphe Yvon/0_01.jpg;0.8494147658348083
Adolphe Yvon;Adolphe Yvon/1.jpeg;Adolphe Yvon/1_01.jpg;0.7922571301460266
Adolphe de Balathier-Bragelonne;Adolphe de Balathier-Bragelonne/0.jpeg;Adolphe de Balathier-Bragelonne/0_01.jpg;0.8802530169487
Adolphe de Balathier-Bragelonne;Adolphe de Balathier-Bragelonne/1.jpeg;Adolphe de Balathier-Bragelonne/1_01.jpg;0.8722156286239624
Adélaïde-Louise d'Eckmühl de Blocqueville;Adélaïde-Louise d'Eckmühl de Blocqueville/0.jpeg;Adélaïde-Louise d'Eckmühl de Blocqueville/0_01.jpg;0.8715265989303589
Adélaïde-Louise d'Eckmühl de Blocqueville;Adélaïde-Louise d'Eckmühl de Blocqueville/1.jpeg;Adélaïde-Louise d'Eckmühl de Blocqueville/1_01.jpg;0.8164612650871277
Agricol Perdiguier;Agricol Perdiguier/0.jpeg;Agricol Perdiguier/0_01.jpg;0.888001024723053
Agricol Perdiguier;Agricol Perdiguier/1.jpeg;Agricol Perdiguier/1_01.jpg;0.837284505367279
Agustín Fernando Muñoz, 1st Duke of Riánsares;Agustín Fernando Muñoz, 1st Duke of Riánsares/0.jpeg;Agustín Fernando Muñoz, 1st Duke of Riánsares/0_01.jpg;0.8620316982269287
Agustín Fernando Muñoz, 1st Duke of Riánsares;Agustín Fernando Muñoz, 1st Duke of Riánsares/1.jpeg;Agustín Fernando Muñoz, 1st Duke of Riánsares/1_01.jpg;0.8231965899467468
Agustín Stahl Stamm;Agustín Stahl Stamm/0.jpeg;Agustín Stahl Stamm/0_01.jpg;0.8482518792152405
Agustín Stahl Stamm;Agustín Stahl Stamm/1.jpeg;Agustín Stahl Stamm/1_01.jpg;0.8338873386383057
Ahmed ‘Urabi;Ahmed ‘Urabi/0.jpeg;Ahmed ‘Urabi/0_01.jpg;0.8845326900482178
Ahmed ‘Urabi;Ahmed ‘Urabi/1.jpeg;Ahmed ‘Urabi/1_01.jpg;0.8635241985321045
Akim Karneev;Akim Karneev/0.jpeg;Akim Karneev/0_01.jpg;0.862419068813324
Akim Karneev;Akim Karneev/1.jpeg;Akim Karneev/1_01.jpg;0.8582749962806702
Albert A. Brackett;Albert A. Brackett/0.jpeg;Albert A. Brackett/0_01.jpg;0.8774517178535461
Albert A. Brackett;Albert A. Brackett/1.jpeg;Albert A. Brackett/1_01.jpg;0.8717384338378906
Albert Becker;Albert Becker/0.jpeg;Albert Becker/0_01.jpg;0.772944986820221
Albert Becker;Albert Becker/1.jpeg;Albert Becker/1_01.jpg;0.8220677375793457
Albert Caudieux;Albert Caudieux/0.jpeg;Albert Caudieux/0_01.jpg;0.7900121212005615
Albert Caudieux;Albert Caudieux/1.jpeg;Albert Caudieux/1_01.jpg;0.8189736008644104
Albert Hilger;Albert Hilger/0.jpeg;Albert Hilger/0_01.jpg;0.8374977111816406
Albert Hilger;Albert Hilger/1.jpeg;Albert Hilger/1_01.jpg;0.8561241030693054
Albert I of Saxony;Albert I of Saxony/0.jpeg;Albert I of Saxony/0_01.jpg;0.8779494762420654
Albert I of Saxony;Albert I of Saxony/1.jpeg;Albert I of Saxony/1_01.jpg;0.863283634185791
Albert Mousson;Albert Mousson/0.jpeg;Albert Mousson/0_01.jpg;0.8727964162826538
Albert Mousson;Albert Mousson/1.jpeg;Albert Mousson/1_01.jpg;0.8680821657180786
Albert Vandal;Albert Vandal/0.jpeg;Albert Vandal/0_01.jpg;0.8909197449684143
Albert Vandal;Albert Vandal/1.jpeg;Albert Vandal/1_01.jpg;0.8880444169044495
Aleksandr Baggovut;Aleksandr Baggovut/0.jpeg;Aleksandr Baggovut/0_01.jpg;0.843399703502655
Aleksandr Baggovut;Aleksandr Baggovut/1.jpeg;Aleksandr Baggovut/1_01.jpg;0.8595374226570129
Aleksandr Golitsyn;Aleksandr Golitsyn/0.jpeg;Aleksandr Golitsyn/0_01.jpg;0.8401724696159363
Aleksandr Golitsyn;Aleksandr Golitsyn/1.jpeg;Aleksandr Golitsyn/1_01.jpg;0.8832055926322937
Aleksandr Kurakin;Aleksandr Kurakin/0.jpeg;Aleksandr Kurakin/0_01.jpg;0.8797961473464966
Aleksandr Kurakin;Aleksandr Kurakin/1.jpeg;Aleksandr Kurakin/1_01.jpg;0.86034095287323
